anexo,codigo,descripcion,partida
25.1,11101616,Mineral de oro,2616.90.10.00
25.1,11101801,Oro,"2843.30.00.00, 2843.90.00.00, 7108.11.00.00, 7108.12.00.00, 7108.13.00.00, 7108.20.00.00 y 7112.91.00.00"
25.1,12131500,Explosivos,"3601.00.00.00 y 2904.20.20.00"
25.1,12131501,Dinamita,3602.00.11.00
25.1,12131502,Cartuchos explosivos,3602.00.90.00
25.1,12131503,Explosivos propelentes,
25.1,12131504,Cargas explosivas,
25.1,12131505,Explosivos plasticos,
25.1,12131506,Explosivos aluminizados,
25.1,12131508,Explosivos de polvo de nitroglicerina,
25.1,12131509,Nitrato de amonio y fuel oil,3602.00.20.10
25.1,12131507,Explosivos de nitrato de amonio,3602.00.20.90
25.1,12141726,Mercurio Hg,2805.40.00.00
25.1,12352117,Cianuros o isocianuros,"2837.11.10.00 y 2811.12.00.00"
25.1,15100000,Otros combustibles,
25.1,15101505,Combustible diesel,
25.1,15101506,Gasolina,
25.1,20101504,Cortadores de roca,8430.39.00.00
25.1,20101600,Cribas y equipos de alimentacion,"8474.10.20.00 y 8474.10.90.00"
25.1,20111601,Maquinaria de sondeo o de perforacion,"8430.41.00.00 y 8430.49.00.00"
25.1,20111607,Maquinaria para hacer tuneles,8430.31.00.00
25.1,22101501,Cargadores frontales,"8429.51.00.00 y 8429.52.00.00"
25.1,22101502,Niveladoras,"8429.20.00.00 y 8429.52.00.00"
25.1,22101505,Aplanadoras,"8429.40.00.00 y 8429.52.00.00"
25.1,22101509,Retroexcavadoras,"8429.59.00.00 y 8429.52.00.00"
25.1,22101511,Compactadores,"8429.40.00.00 y 8429.52.00.00"
25.1,22101513,Dragalineas,"8905.10.00.00 y 8429.52.00.00"
25.1,22101514,Dragas,"8905.10.00.00 y 8429.52.00.00"
25.1,22101516,Excavadoras de fosos,"8429.52.00.00 y 8429.59.00.00"
25.1,22101518,Raspadores elevadores,"8429.30.00.00 y 8429.52.00.00"
25.1,22101519,Maquina giratoria con cazoleta de rastrillos abiertas,"8429.30.00.00 y 8429.52.00.00"
25.1,22101520,Maquina giratoria con rastrillos elevadores,"8429.30.00.00 y 8429.52.00.00"
25.1,22101521,Rastrilladora arrastrada,"8429.30.00.00 y 8429.52.00.00"
25.1,22101522,Buldoceres de orugas,"8429.11.00.00 y 8429.52.00.00"
25.1,22101523,Buldoceres de ruedas,"8429.19.00.00 y 8429.52.00.00"
25.1,22101524,Excavadoras moviles,"8429.52.00.00 y 8429.59.00.00"
25.1,22101525,Excavadoras de ruedas,"8429.52.00.00 y 8429.59.00.00"
25.1,22101526,Excavadoras de orugas,"8429.52.00.00 y 8429.59.00.00"
